Date (MM/DD/YYYY),Time (hh:mm:ss tt),Time (Fract. Sec),Site Name,Battery Power ( voltage ),Cable Power ( voltage ),Chlorophyll ( RFU ),Chlorophyll ( µg/L ),Phycoerythrin ( RFU ),Phycoerythrin ( µg/L ),Phycoerythrin ( cells/mL ),Chlorophyll ( cells/mL ),Temp ( °C ),Cond ( µS/cm ),Sp Cond ( µS/cm ),Sal ( psu ),nLFCond ( µS/cm ),TDS ( mg/L ),Turbidity ( FNU ),TSS ( mg/L ),DO ( % Sat ),DO ( mg/L ),DO ( % CB ),Absolute Pressure ( psi a ),Depth ( m ),Vertical Position ( m ),Resistivity ( ohms-cm ),Water Density ( Sigma ),Water Density ( Sigma-T ),Fault Code
10/22/2023,12:39:09 PM,0,ROK1,5.94,0,0.1,0.15,-0.31,-3.26,0,0,8.528,31079,45345,29.1,46138.8,29474,0.69,0,98.6,9.55,102.9,3.494,2.403,2.434,32,22.6,22.6,0
10/22/2023,12:39:10 PM,0,ROK1,5.94,0,0.06,0,-0.28,-3.15,0,0,8.569,31080.8,45300.9,29.07,46094.6,29446,0.64,0,98.2,9.51,102.5,3.692,2.538,2.62,32,22.6,22.5,0
10/22/2023,12:39:11 PM,0,ROK1,5.94,0,0.02,-0.17,-0.3,-3.23,0,0,8.599,31083.6,45262.7,29.05,46056.2,29421,0.67,0,97.9,9.48,102.2,3.966,2.727,2.764,32,22.5,22.5,0
10/22/2023,12:39:12 PM,0,ROK1,5.94,0,0.08,0.09,-0.34,-3.32,0,0,8.624,31087.4,45239.2,29.03,46032.5,29405,0.68,0,97.6,9.44,101.9,4.125,2.836,2.887,32,22.5,22.5,0
10/22/2023,12:39:13 PM,0,ROK1,5.94,0,0.13,0.26,-0.36,-3.4,0,0,8.639,31096.1,45230,29.03,46023.4,29400,0.55,0,97.4,9.42,101.7,4.314,2.966,3.034,32,22.5,22.5,0
10/22/2023,12:39:14 PM,0,ROK1,5.94,0,0.12,0.23,-0.37,-3.42,0,0,8.653,31110.3,45236.3,29.03,46029.9,29404,0.6,0,97.2,9.4,101.5,4.616,3.174,3.224,32,22.5,22.5,0
10/22/2023,12:39:15 PM,0,ROK1,5.94,0,0.1,0.15,-0.38,-3.43,0,0,8.667,31110.6,45216.1,29.02,46009.6,29390,0.6,0,97.1,9.38,101.3,4.803,3.303,3.335,32,22.5,22.5,0
10/22/2023,12:39:16 PM,0,ROK1,5.94,0,0.11,0.19,-0.39,-3.48,0,0,8.68,31115,45208.5,29.02,46002.1,29386,0.57,0,96.9,9.36,101.1,4.976,3.422,3.496,32,22.5,22.5,0
10/22/2023,12:39:17 PM,0,ROK1,5.94,0,0.14,0.31,-0.37,-3.42,0,0,8.69,31132.6,45219.5,29.02,46013.4,29393,0.56,0,96.7,9.34,100.9,5.228,3.595,3.663,32,22.5,22.5,0
10/22/2023,12:39:18 PM,0,ROK1,5.95,0,0.13,0.29,-0.21,-2.96,0,0,8.703,31138,45213.8,29.02,46007.8,29389,0.62,0,96.5,9.32,100.8,5.572,3.831,3.938,32,22.5,22.5,0
10/22/2023,12:39:19 PM,0,ROK1,5.95,0,0.13,0.27,-0.14,-2.78,0,0,8.716,31141.3,45199.6,29.01,45993.5,29380,0.66,0,96.4,9.3,100.6,5.937,4.083,4.148,32,22.5,22.5,0
10/22/2023,12:39:20 PM,0,ROK1,5.95,0,0.15,0.35,0.06,-2.21,0,0,8.728,31206.1,45277.8,29.07,46073.2,29431,0.71,0,96.3,9.29,100.5,6.205,4.267,4.346,32,22.5,22.5,0
10/22/2023,12:39:21 PM,0,ROK1,5.95,0,0.18,0.47,-0.04,-2.5,0,0,8.751,31420.5,45566.4,29.27,46367.1,29618,0.67,0,96.5,9.31,100.8,6.53,4.49,4.577,32,22.7,22.7,0
10/22/2023,12:39:22 PM,0,ROK1,5.95,0,0.17,0.42,-0.33,-3.3,0,0,8.803,31555.8,45690.6,29.37,46494.2,29699,0.56,0,96.9,9.33,101.2,6.894,4.739,4.803,32,22.8,22.7,0
10/22/2023,12:39:23 PM,0,ROK1,5.95,0,0.15,0.36,-0.28,-3.18,0,0,8.875,31571,45632,29.33,46435.3,29661,0.59,0,96.8,9.3,101.1,7.118,4.893,4.917,32,22.7,22.7,0
10/22/2023,12:39:24 PM,0,ROK1,5.95,0,0.16,0.4,-0.32,-3.29,0,0,8.929,31586.2,45575.6,29.29,46378.5,29624,0.56,0,96.6,9.27,100.9,7.235,4.974,5.002,32,22.7,22.7,0
10/22/2023,12:39:25 PM,0,ROK1,5.95,0,0.21,0.6,-0.3,-3.21,0,0,8.972,31552.2,45479.1,29.23,46280.7,29561,0.56,0,96.5,9.25,100.7,7.262,4.993,4.966,32,22.6,22.6,0
10/22/2023,12:39:26 PM,0,ROK1,5.95,0,0.18,0.48,-0.39,-3.46,0,0,8.997,31553,45443.4,29.2,46244.6,29538,0.52,0,96.1,9.21,100.3,7.111,4.889,4.84,32,22.6,22.6,0
10/22/2023,12:39:27 PM,0,ROK1,5.95,0,0.14,0.32,-0.34,-3.33,0,0,9.024,31594,45473,29.23,46275,29557,0.51,0,96,9.19,100.2,6.939,4.771,4.744,32,22.6,22.6,0
10/22/2023,12:39:28 PM,0,ROK1,5.95,0,0.19,0.53,-0.16,-2.81,0,0,9.047,31601.2,45449.7,29.21,46251.6,29542,0.54,0,95.9,9.18,100.1,6.826,4.693,4.663,32,22.6,22.6,0
